#,Category,Sub-Category,Item Name,File Path,Repository,Branch,File Type,Size (bytes),Description,Date,Status,GitHub URL
1,Repositories,Profile,suryabanshi (profile repo),/,suryabanshi/suryabanshi,main,GitHub Repo,,GitHub special profile repository — README.md appears on public profile page. Topics: config / github-config,2021-10-10,Active,https://github.com/suryabanshi/suryabanshi
2,Repositories,Learning & Philosophy,challenger,/,suryabanshi/challenger,main,GitHub Repo,,Personal learning repo. Philosophy: "a good learner/listener is a good performer, a good performer is a good teacher and a good teacher becomes a good leader",2026-03-14,Active,https://github.com/suryabanshi/challenger
3,Branches,Profile Repo,main,/,suryabanshi/suryabanshi,main,Git Branch,,Default branch — initial commit with blank README template,2026-04-26,Active,https://github.com/suryabanshi/suryabanshi/tree/main
4,Branches,Profile Repo,earthsmart,/,suryabanshi/suryabanshi,earthsmart,Git Branch,,Experimental branch at same commit as main — reserved for EarthSmart initiative,2026-04-26,Active,https://github.com/suryabanshi/suryabanshi/tree/earthsmart
5,Branches,Profile Repo,suman,/,suryabanshi/suryabanshi,suman,Git Branch,,Named branch at same commit as main — personal namespace branch,2026-04-26,Active,https://github.com/suryabanshi/suryabanshi/tree/suman
6,Branches,Profile Repo,claude/implement-todo-1cmO9,/,suryabanshi/suryabanshi,claude/implement-todo-1cmO9,Git Branch,,Branch created by Claude to fill out GitHub profile README with personal bio,2026-05-02,Active,https://github.com/suryabanshi/suryabanshi/tree/claude/implement-todo-1cmO9
7,Branches,E-commerce / Shopify,claude/smart-shop-homepage-theme-oSwGF,/,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Git Branch,,Branch containing full SmartSphere Shopify homepage theme (18 files across 7 directories),2026-05-01,Active,https://github.com/suryabanshi/suryabanshi/tree/claude/smart-shop-homepage-theme-oSwGF
8,GitHub Profile,Personal Bio,README.md,README.md,suryabanshi/suryabanshi,claude/implement-todo-1cmO9,Markdown,790,"Personal profile bio — currently working on open-source projects; learning distributed systems / ML / cloud-native; open to collaborating on dev-productivity tools; skills: Python / system design / backend engineering; fun fact: hiking & software architecture parallels",2026-05-02,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/implement-todo-1cmO9/README.md
9,GitHub Profile,Template,README.md (template),README.md,suryabanshi/suryabanshi,main,Markdown,448,Default GitHub profile README template with commented-out placeholder prompts (unfilled),2026-04-26,Draft,https://github.com/suryabanshi/suryabanshi/blob/main/README.md
10,Shopify Theme — SmartSphere,Core Layout,theme.liquid,layout/theme.liquid,suryabanshi/suryabanshi,claude/smart-shop-homepage-theme-oSwGF,Liquid Template,7407,"Root Shopify layout — includes <head> meta tags, font imports (Inter + Poppins), CSS/JS asset links, navigation header with cart icon, footer, and scroll-reveal init",2026-05-01,Completed,https://github.com/suryabanshi/suryabanshi/blob/claude/smart-shop-homepage-theme-oSwGF/layout/theme.liquid
